,,,Alle dage,Weekenddage,SH-Dage,,,,,,,,,,,,,,,,,,,,,
12/22/2020,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/23/2020,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/24/2020,Torsdag,Juleaften,1,,1,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/25/2020,Fredag,1. Juledag,1,,1,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/26/2020,Lørdag,2. Juledag,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
12/27/2020,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/28/2020,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
12/29/2020,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/30/2020,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
12/31/2020,Torsdag,Nytårsaften,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/1/2021,Fredag,Nytårsdag,1,,1,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/2/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
1/3/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/4/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/5/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/6/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/7/2021,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/8/2021,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/9/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
1/10/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/11/2021,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/12/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/13/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/14/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/15/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/16/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
1/17/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/18/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/19/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/20/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/21/2021,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/22/2021,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/23/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
1/24/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/25/2021,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/26/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/27/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
1/28/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/29/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
1/30/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
1/31/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/1/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/2/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/3/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/4/2021,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/5/2021,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/6/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
2/7/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/8/2021,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/9/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/10/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/11/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/12/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/13/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
2/14/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/15/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/16/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/17/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/18/2021,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/19/2021,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/20/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
2/21/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/22/2021,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/23/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/24/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
2/25/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/26/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
2/27/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
2/28/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/1/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/2/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/3/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/4/2021,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/5/2021,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/6/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
3/7/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/8/2021,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/9/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/10/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/11/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/12/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/13/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
3/14/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/15/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/16/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/17/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/18/2021,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/19/2021,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/20/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
3/21/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/22/2021,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/23/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/24/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/25/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/26/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/27/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
3/28/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/29/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
3/30/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
3/31/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/1/2021,Torsdag,Skærtorsdag,1,,1,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/2/2021,Fredag,Langfredag,1,,1,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/3/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
4/4/2021,Søndag,Påskedag,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/5/2021,Mandag,2. Påskedag,1,,1,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/6/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/7/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/8/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/9/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/10/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
4/11/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/12/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/13/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/14/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/15/2021,Torsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/16/2021,Fredag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/17/2021,Lørdag,,1,1,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",
4/18/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/19/2021,Mandag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/20/2021,Tirsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/21/2021,Onsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/22/2021,Torsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/23/2021,Fredag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/24/2021,Lørdag,,1,1,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",
4/25/2021,Søndag,,1,1,,,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/26/2021,Mandag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",,/,,,"0,00",
4/27/2021,Tirsdag,,1,,,,P,6:00,18:00,"11,50",,/,,,"0,00",,/,,,"0,00",,U,18:00,6:00,"11,50",
4/28/2021,Onsdag,,1,,,,/,,,"0,00",,P,6:00,18:00,"11,50",,/,,,"0,00",,U,18:00,6:00,"11,50",
